ID,falsto_name,globalid,year
380,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2016
381,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2017
382,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2018
383,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2019
384,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2020
385,Hergensweiler_1,4454B9E7-7CE2-458D-A2B1-F525C2469777,2021
386,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2015
387,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2016
388,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2017
389,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2018
390,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2019
391,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2020
392,Hergensweiler_2,F588796B-18E0-466E-935C-1FA3592F5A31,2021
393,Herrieden_1,DB35CE45-6461-4621-838B-26681187E988,2015
394,Herrieden_1,DB35CE45-6461-4621-838B-26681187E988,2016
395,Herrieden_1,DB35CE45-6461-4621-838B-26681187E988,2017
396,Herrieden_1,DB35CE45-6461-4621-838B-26681187E988,2018
397,Herrieden_1,DB35CE45-6461-4621-838B-26681187E988,2019
398,Herrieden_1,DC7358D3-49BA-4611-92C7-9525C5BF0E16,2020
399,Herrieden_1,DC7358D3-49BA-4611-92C7-9525C5BF0E16,2021
400,Herrieden_2,1AA2C9C5-1139-43E4-BEDE-74286D2649A0,2015
401,Herrieden_2,1AA2C9C5-1139-43E4-BEDE-74286D2649A0,2016
402,Herrieden_2,1AA2C9C5-1139-43E4-BEDE-74286D2649A0,2017
403,Herrieden_2,1AA2C9C5-1139-43E4-BEDE-74286D2649A0,2018
404,Herrieden_2,1AA2C9C5-1139-43E4-BEDE-74286D2649A0,2019
405,Herrieden_2,171CF5CD-3289-4484-AF64-B6E33148D7CC,2020
406,Herrieden_2,171CF5CD-3289-4484-AF64-B6E33148D7CC,2021
407,Hohenthann_1,A79D616D-40F3-4F2E-881D-0B1300155E56,2015
408,Hohenthann_1,A79D616D-40F3-4F2E-881D-0B1300155E56,2016
409,Hohenthann_1,A79D616D-40F3-4F2E-881D-0B1300155E56,2017
410,Hohenthann_1,A79D616D-40F3-4F2E-881D-0B1300155E56,2018
411,Hohenthann_1,A79D616D-40F3-4F2E-881D-0B1300155E56,2019
412,Hohenthann_1,0A11190E-3C58-4395-BFF4-5DBDD4C12FA2,2020
413,Hohenthann_1,0A11190E-3C58-4395-BFF4-5DBDD4C12FA2,2021
414,Hohenthann_2,F27C3197-8092-4AF9-9B6F-A7911614DE60,2015
415,Hohenthann_2,F27C3197-8092-4AF9-9B6F-A7911614DE60,2016
416,Hohenthann_2,F27C3197-8092-4AF9-9B6F-A7911614DE60,2017
417,Hohenthann_2,B533A0A3-C522-4D91-8C2A-03F348B4A165,2018
418,Hohenthann_2,B533A0A3-C522-4D91-8C2A-03F348B4A165,2019
419,Hohenthann_2,0F63976E-65E7-4605-B2F9-00D4CED571DB,2020
420,Hohenthann_2,0F63976E-65E7-4605-B2F9-00D4CED571DB,2021
421,Igling_1,FE57383B-3769-408C-B6F6-05E12EAF146F,2015
422,Igling_1,FE57383B-3769-408C-B6F6-05E12EAF146F,2016
423,Igling_1,FE57383B-3769-408C-B6F6-05E12EAF146F,2017
424,Igling_1,FE57383B-3769-408C-B6F6-05E12EAF146F,2018
425,Igling_1,43DA9F21-67E2-4B80-8379-26AD6A6651E0,2019
426,Igling_1,7A1A38D5-DA82-4F61-AC3A-E47E4397A716,2020
427,Igling_1,7A1A38D5-DA82-4F61-AC3A-E47E4397A716,2021
428,Igling_2,5924D75C-C165-4551-A14E-C370444E5B9D,2015
